name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 110014 b,Confirmed,10.7,1,1,10.7,1,1,0,,,882.6,21.5,21.5,2.31,0.04,0.04,0.26,0.1,0.1,,,,0.023778,2009,9/3/16,47.72,15.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,chi Vir b,,HD 110014,189.8083333,-7.9955556,4.66,,,,,90,2.3,2.3,0.19,0.05,0.05,2.17,0.28,0.28,20.9,1.1,1.1,K2III,0.95,0.4,0.4,4445,70,70,,,
HD 110014 c,Confirmed,3.1,0.4,0.4,3.1,0.4,0.4,0,,,130,0.9,0.9,0.64,0.003,0.003,0.44,0.2,0.2,,,,,2015,9/3/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,chi Vir c,,HD 110014,189.8083333,-7.9955556,4.66,,,,,90,2.3,2.3,0.19,0.05,0.05,2.17,0.28,0.28,20.9,1.1,1.1,K2III,0.95,0.4,0.4,4445,70,70,,,
HD 111591 b,Confirmed,4.4,0.4,0.4,4.4,0.4,0.4,0,,,1056.4,14.3,14.3,2.5,0.1,0.1,0.26,0.1,0.1,,,,,2017,11/17/17,78.72,12,12,2455602.4,31,31,,,,,,,,,,,,,,,,,,,59,3,3,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 111591,192.5708333,22.86333336,6.6,,,,,108,5,5,0.07,0.04,0.04,1.94,0.07,0.07,8.03,0.49,0.49,K0III,1.41,0.14,0.14,4884,30,30,,,
HD 113337 b,Confirmed,2.83,0.24,0.24,2.83,0.24,0.24,0,,,324,1.7,3.3,0.92,0.09,0.09,0.46,0.04,0.04,,,,,2013,7/10/14,219.2,3.7,3.7,2456074.5,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 113337,195.4458,63.6103,6,,,,,36.9,0.4,0.4,0.07,,,1.4,0.14,0.14,1.5,0.15,0.15,,0.15,0.05,0.1,6577,16,16,,,
HD 113538 b,Confirmed,0.36,0.04,0.04,0.36,0.04,0.04,0,,,663.2,8.4,7.4,1.24,0.04,0.04,0.14,0.08,0.08,,,,,2010,1/8/15,74,37,29,2455500,17,17,,,,,,,,,,,,,,,,,,,12.2,1.1,1.1,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 113538,196.2375,-52.4430556,9.06,,,,,15.8,0.4,0.4,-0.24,0.06,0.06,0.585,0.05,0.05,0.53,0.02,0.02,K9V,4.3,4,4,4462,145,145,,,
HD 113538 c,Confirmed,0.93,0.06,0.06,0.93,0.06,0.06,0,,,1818,25,25,2.44,0.07,0.07,0.2,0.04,0.04,,,,0.153797,2010,1/8/15,280,16,16,2456741,31,31,,,,,,,,,,,,,,,,,,,22.6,0.8,0.8,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 113538,196.2375,-52.4430556,9.06,,,,,15.8,0.4,0.4,-0.24,0.06,0.06,0.585,0.05,0.05,0.53,0.02,0.02,K9V,4.3,4,4,4462,145,145,,,
HD 113996 b,Confirmed,6.3,1,1,6.3,1,1,0,,,610.2,3.8,3.8,1.6,0.1,0.1,0.28,0.12,0.12,,,,,2017,11/17/17,92.06,17.25,17.25,2455602.4,24,24,,,,,,,,,,,,,,,,,,,120,9,9,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 113996,196.7958333,27.62472224,4.9,,,,,102,2.5,2.5,0.13,0.08,0.08,1.49,0.18,0.18,25.11,1.2,1.2,K5III,3.24,1.2,1.2,4181,40,40,,,
HD 114386 b,Confirmed,1.24,,,1.24,,,0,,,937,15.6,15.6,1.02,,,0.23,0.03,0.03,,,,0.058929,2003,7/24/12,273,14,14,50454,43,43,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114386,197.6625,-35.0547222,8.73,,,,,28,,,0,,,0.75,,,0.76,,,K3 V,2.19,,,4819,,,,,
HD 114729 b,Confirmed,0.84,,,0.84,,,0,,,1135,9,9,2.08,,,0.32,0.18,0.18,,,,0.059429,2002,1/15/16,73,30,30,2450520,67,67,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114729,198.1833333,-31.8733333,6.69,,,,,35,,,-0.22,,,0.93,,,1.46,,,G3 V,4.58,,,5662,,,,,
HD 114762 b,Confirmed,10.98,0.09,0.09,10.98,0.09,0.09,0,,,83.9151,0.003,0.003,0.353,0.001,0.001,0.3354,0.0048,0.0048,,,,0.008946,1989,1/10/16,201.28,1.01,1.01,2449889.106,0.186,0.186,,,,2455326.665,0.242,0.242,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114762,198.0791667,17.5169444,7.3,,,,,39.46,2.86,2.86,-0.71,0.08,0.08,0.84,,,1.24,0.1,0.1,F9V,11.8,3.9,3.9,5934,80,80,,,
HD 114783 b,Confirmed,6.3,2.97,26.9,1.1,0.06,0.06,0,,,493.7,1.8,1.8,1.16,0.019,0.019,0.144,0.032,0.032,10,8,8,0.058824,2001,1/22/16,86,11,11,2453806,14,14,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114783,198.1791667,-2.265,7.57,,,,,20.4,,,0.33,,,0.92,,,0.78,,,K0,3.7,,,5105,,,,,
HD 11506 b,Confirmed,3.44,0.47,0.9,3.44,0.47,0.9,0,,,1270,95,95,2.43,0.12,0.12,0.22,0.12,0.12,,,,0.045151,2007,2/24/09,4.5,0.7,0.7,13666.3,102,102,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,,,0.31,0.03,0.03,1.19,0.1,0.1,1.38,0.15,0.15,G0V,5.4,1.6,1.6,6058,51,51,,,
HD 11506 c,Confirmed,0.82,0.5,0.31,0.82,0.5,0.31,0,,,170.46,6,6,0.639,0.017,0.017,0.42,0.42,0.42,,,,0.011873,2009,2/24/09,4.1,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,,,0.31,0.03,0.03,1.19,0.1,0.1,1.38,0.15,0.15,G0V,5.4,1.6,1.6,6058,51,51,,,
HD 116029 b,Confirmed,2.1,0.2,0.2,2.1,0.2,0.2,0,,,670.2,8.3,8.3,1.73,0.04,0.04,0.21,inf,nan,,,,0.014042,2011,9/2/11,360,100,100,2455220,200,200,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 116029,200.1666667,24.6486111,8.04,,,,,123.2,9.9,9.9,0.18,0.03,0.03,1.58,0.11,0.11,4.6,0.1,0.1,K1III,2.7,0.5,0.5,4951,44,44,,,
HD 117207 b,Confirmed,2.06,,,2.06,,,0,,,2627.08,63.51,63.51,3.78,,,0.16,0.05,0.05,,,,0.114545,2004,12/31/10,81.7,19.9,19.9,2450666.43,148.89,148.89,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 117207,202.3375,-35.5708333,7.26,,,,,33,,,0.27,,,1.07,,,1.09,,,G8VI/V,6.68,2.2,2.2,5432,,,,,
HD 11755 b,Confirmed,6.5,1,1,6.5,1,1,0,,,433.7,3.2,3.2,1.08,0.04,0.04,0.19,0.1,0.1,,,,,2015,10/1/15,155.3,12.6,12.6,2457018.2,14,14,,,,,,,,,,,,,,,,,,,191.3,10.2,10.2,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 11755,29.70833335,73.15250001,6.87,,,,,231.5,,,-0.74,0.02,0.02,0.9,0.1,0.1,27.3,1,1,G5,10.2,1.3,1.3,4312.5,5,5,,,
HD 117618 b,Confirmed,0.178,0.02,0.02,0.178,0.02,0.02,0,,,25.827,0.02,0.02,0.176,0.01,0.01,0.42,0.02,0.02,,,,0.004632,2004,1/15/16,245,19,19,2450832.2,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 117618,203.1041667,-47.2711111,7.18,,,,,38,,,0.04,,,1.05,,,1.19,,,G2V,3.88,,,5861,,,,,
HD 117618 c,Confirmed,0.2,0.1,0.1,0.2,0.1,0.1,0,,,318,2,2,0.93,0.01,0.01,0,0.26,0.26,,,,,2013,7/4/13,360,29,29,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 117618,203.1041667,-47.2711111,7.18,,,,,38,,,0.04,,,1.05,,,1.19,,,G2V,3.88,,,5861,,,,,
HD 11964 b,Confirmed,0.622,0.056,0.056,0.622,0.056,0.056,0,,,1945,26,26,3.16,0.19,0.19,0.041,0.017,0.017,,,,0.092996,2005,2/13/14,155,,,2454170,380,380,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5,9.56,,,5248,,,,,
HD 11964 c,Confirmed,0.079,0.01,0.01,0.079,0.01,0.01,0,,,37.91,0.041,0.041,0.229,0.013,0.013,0.3,0.17,0.17,,,,0.006739,2005,2/13/14,102,,,2454370,180,180,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5,9.56,,,5248,,,,,
HD 11977 b,Confirmed,6.29,0.7,0.7,6.29,0.7,0.7,0,,,711,8,8,1.89,0.11,0.1,0.4,0.07,0.07,,,,0.029023,2005,1/21/16,351.5,9.5,9.5,2451420,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11977,28.7333333,-67.6472222,4.7,,,,,66.5,2.1,2.1,-0.21,0.1,0.1,1.91,0.21,0.21,13,,,G8.5 III,1.25,0.75,0.75,4975,,,,,
HD 122430 b,Unconfirmed,3.71,,,3.71,,,0,,,344.95,1.08,1.08,1.02,,,0.68,0.09,0.09,,,,0.007556,2003,9/3/16,91.04,17.27,17.27,2451986.71,3.75,3.75,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HD 122430,210.5916667,-27.4297222,5.48,,,,,135,13,13,-0.05,,,1.39,0.27,0.27,22.9,0.3,0.3, K3III,3.11,1.7,1.7,4300,,,,,
HD 125612 b,Confirmed,3,,,3,,,0,,,502,14,14,1.37,,,0.46,0.01,0.01,,,,0.025937,2007,12/6/10,41.5,1.7,1.7,54894.9,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897,40,40,,,
HD 125612 c,Confirmed,0.058,,,0.058,,,0,,,4.1547,0.0005,0.0005,0.05,,,0.27,0.12,0.12,,,,0.000947,2009,12/6/10,103,23,23,54420.17,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897,40,40,,,
HD 125612 d,Confirmed,7.2,,,7.2,,,0,,,3008,202,202,4.2,,,0.28,0.12,0.12,,,,0.079515,2009,12/6/10,284,8,8,57174,17,17,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897,40,40,,,
HD 12648 b,Confirmed,2.9,0.4,0.4,2.9,0.4,0.4,0,,,133.6,0.5,0.5,0.54,0.02,0.02,0.04,0.16,0.16,,,,,2015,10/1/15,99.3,140.7,140.7,2452324.7,57.6,57.6,,,,,,,,,,,,,,,,,,,102,8.4,8.4,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 12648,34.75,85.73611113,6.98,,,,,158.4,9,9,-0.57,0.02,0.02,1.2,0.1,0.1,9.2,0.6,0.6,G5,4.5,1,1,4835.8,7.5,7.5,,,
HD 12661 b,Confirmed,2.3,,,2.3,,,0,,,263.6,1.2,1.2,0.83,,,0.377,0.008,0.008,,,,0.022336,2000,2/13/14,296,1.5,1.5,2454152.76,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742,,,,,
HD 12661 c,Confirmed,1.57,,,1.57,,,0,,,1708,14,14,2.56,,,0.031,0.022,0.022,,,,0.068891,2002,2/13/14,165,,,2446153.76,87,87,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742,,,,,
HD 126614 b,Confirmed,0.38,0.04,0.04,0.38,0.04,0.04,0,,,1244,17,17,2.35,0.02,0.02,0.41,0.1,0.1,,,,0.032459,2010,8/30/14,243,19,19,2453808,52,52,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 126614,216.7,-5.1777778,8.81,,,,,72.4,5.3,5.3,0.56,0.04,0.04,1.145,0.03,0.03,1.09,0.06,0.06,K0,7.2,2,2,5585,44,44,,,
HD 128311 b,Confirmed,2.18,0.022,0.022,2.18,0.022,0.022,0,,,448.6,6.8,6.8,1.099,0.04,0.04,0.25,0.1,0.1,,,,0.066205,2002,1/4/11,110.9,36,36,2450210.9,76,76,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 128311,219,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965,,,IR Excess,,
HD 128311 c,Confirmed,4.19,0.83,1.27,3.21,0.3,0.3,0,,,919,,,1.76,0.13,0.13,0.17,0.09,0.09,50,10,10,0.106024,2005,5/11/11,195.5,150,150,2450012.2,401,401,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 128311,219,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965,,,IR Excess,,
HD 128356 b,Confirmed,0.89,0.07,0.07,0.89,0.07,0.07,0,,,298.2,1.6,1.6,0.87,0.03,0.03,0.57,0.08,0.08,,,,,2016,4/2/16,84,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,36.9,1.2,1.2,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 128356,219.2708333,-25.80250002,8.29,,,,,26.03,0.52,0.52,0.17,0.1,0.1,0.65,0.05,0.05,0.85,0.02,0.02,K3V,10,5,5,4875,100,100,,,
HD 130322 b,Confirmed,1.05,0.03,0.77,1.02,,,0,,,10.72,0.07,0.07,0.088,,,0.044,0.018,0.018,76,42,42,0.002933,1999,12/8/10,203.63,23.14,23.14,51287.38,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 130322,221.8875,0.2813889,8.05,,,,,30,,,-0.02,,,0.79,,,0.83,,,K0 V,0.35,,,5330,,,IR Excess,,
HD 131496 b,Confirmed,2.2,0.2,0.2,2.2,0.2,0.2,0,,,883,29,29,2.09,0.07,0.07,0.163,0.073,0.073,,,,0.019,2011,9/2/11,22,40,40,2456040,100,100,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 131496,223.3458333,18.2352778,7.96,,,,,110,9.4,9.4,0.25,0.03,0.03,1.61,0.11,0.11,4.6,0.1,0.1,K0,2.7,0.5,0.5,4927,44,44,,,
HD 131664 b,Unconfirmed,18.15,0.35,0.35,,,,0,,,1951,41,41,3.17,0.03,0.03,0.638,0.02,0.02,167.1,18.2,18.2,0.057189,2008,8/27/14,149.7,1,1,2452060,41,41,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HD 131664,225.025,-73.5352778,8.13,,,,,55.43,2.3,2.3,0.32,0.02,0.02,1.1,0.03,0.03,1.16,,,G3V,2.4,1.8,1.8,5886,21,21,,,
HD 134987 b,Confirmed,1.59,0.02,0.02,1.59,0.02,0.02,0,,,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,,,,0.036486,1999,12/15/09,252.7,0.5,0.5,10071,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 134987,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740,23,23,,,
HD 134987 c,Confirmed,0.82,0.03,0.03,0.82,0.03,0.03,0,,,5000,400,400,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,12/15/09,195,48,48,11100,600,600,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 134987,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740,23,23,,,
HD 136118 b,Unconfirmed,42,18,11,,,,0,,,1209,24,24,1.45,0.25,0.25,0.352,0.006,0.006,163.1,3,3,0.027725,2002,5/1/10,316.4,0.6,0.6,2450610.5,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HD 136118,229.7291667,-1.5922222,6.94,,,,,52.3,,,-0.065,,,1.24,,,1.74,,,F9 V,4.26,,,6095,,,,,
HD 136418 b,Confirmed,2,0.1,0.1,2,0.1,0.1,0,,,464.3,3.2,3.2,1.32,0.03,0.03,0.255,0.041,0.041,,,,0.013442,2010,3/19/10,12,10,10,2455228,10,10,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 136418,229.7791667,41.7333333,7.88,,,,,98.2,5.6,5.6,-0.07,0.03,0.03,1.33,0.09,0.09,3.4,0.1,0.1,G5,4,1,1,5071,44,44,,,
HD 137388 b,Confirmed,0.223,0.029,0.029,0.223,0.029,0.029,0,,,330,4,4,0.89,0.02,0.02,0.36,0.12,0.12,,,,0.023421,2011,8/2/11,86,35,35,2455209,28,28,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 137388,233.9166667,-80.2047222,8.71,,,,,38,3,3,0.18,0.03,0.03,0.86,,,0.82,,,K0/K1V,6.45,0.74,0.74,5240,53,53,,,
HD 13931 b,Confirmed,1.88,0.15,0.15,1.88,0.15,0.15,0,,,4218,388,388,5.15,0.29,0.29,0.02,0.05,0.05,,,,0.116516,2010,8/30/14,290,78,78,2454494,904,904,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 13931,34.1958333,43.7730556,7.61,,,,,44.2,1.4,1.4,0.03,0.04,0.04,1.02,0.02,0.02,1.23,0.06,0.06,G0,8.4,2,2,5829,44,44,,,
HD 139357 b,Confirmed,9.76,2.15,2.15,9.76,2.15,2.15,0,,,1125.7,9,9,2.36,0.2,0.2,0.1,0.02,0.02,,,,0.01944,2009,3/23/09,235.4,10.6,10.6,2452466.7,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 139357,233.8166667,53.9222222,5.98,,,,,121.4,8.2,8.2,-0.13,0.05,0.05,1.35,0.24,0.24,11.47,0.75,0.75,K4III,3.07,1.47,1.47,4700,70,70,,,
HD 14067 b,Confirmed,7.8,0.7,0.7,7.8,0.7,0.7,0,,,1455,12,13,3.4,0.1,0.1,0.533,0.047,0.043,,,,,2014,10/9/14,109.9,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 14067,34.293499,23.76782827,6.51,,,,,163.4,12.3,12.3,-0.1,0.08,0.08,2.4,0.2,0.2,12.4,1.1,1.1,G9 III,0.69,0.2,0.2,4815,100,100,,,
HD 141937 b,Confirmed,9.7,,,9.7,,,0,,,653.22,1.21,1.21,1.52,,,0.41,0.01,0.01,,,,0.045427,2002,12/29/10,187.72,0.8,0.8,51847.38,1.97,1.97,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 141937,238.0708333,-18.4358333,7.25,,,,,33.46,,,0.11,,,1.1,,,1.06,,,G2/G3 V,2.55,,,5925,,,,,
HD 142 b,Confirmed,1.25,0.15,0.15,1.25,0.15,0.15,0,,,349.7,1.2,1.2,1.02,0.3,0.3,0.17,0.06,0.06,,,,0.049515,2001,5/15/12,327,26,26,2452683,26,26,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,,,0.04,0.15,0.15,1.1,,,0.86,0.34,0.34,G1 IV,5.93,,,6180,,,IR Excess,,
HD 142 c,Confirmed,5.3,0.7,0.7,5.3,0.7,0.7,0,,,6005,477,477,6.8,0.5,0.5,0.21,0.07,0.07,,,,0.330097,2012,10/10/13,250,20,20,2455954,223,223,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,,,0.04,0.15,0.15,1.1,,,0.86,0.34,0.34,G1 IV,5.93,,,6180,,,IR Excess,,
HD 142 d,Unconfirmed,0.3,0.15,0.15,,,,0,,,108.4,0.7,0.7,0.47,0.2,0.2,0.12,0.12,0.12,,,,0.022816,2012,5/15/12,270,270,270,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,,,0.04,0.15,0.15,1.1,,,0.86,0.34,0.34,G1 IV,5.93,,,6180,,,IR Excess,,
HD 142022 A b,Confirmed,29.4,16.3,81,5.1,1.5,2.6,0,,,1928,39,53,3.03,0.005,0.005,0.53,0.18,0.23,10,6,6,0.084472,2005,5/26/14,170,10,8,50941,91,91,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142022 A,242.5625,-84.2313889,7.7,,,,,35.87,,,0.19,0.04,0.04,0.99,,,0.705,0.135,0.135,K0 V,13.3,3.9,3.9,5382,,,,,
HD 142245 b,Confirmed,1.9,0.2,0.2,1.9,0.2,0.2,0,,,1299,48,48,2.77,0.09,0.09,0.32,inf,nan,,,,0.025297,2011,9/2/11,234,60,60,2454760,240,240,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142245,238.2333333,15.4308333,7.63,,,,,109.5,7.4,7.4,0.23,0.03,0.03,1.69,0.12,0.12,5.2,0.1,0.1,K0,2.3,0.3,0.3,4878,44,44,,,
HD 142415 b,Confirmed,1.62,,,1.62,,,0,,,386.3,1.6,1.6,1.05,,,0.5,,,,,,0.030702,2003,12/29/10,255,4,4,51519,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142415,239.4166667,-60.2,7.34,,,,,34.2,,,0.21,0.05,0.05,1.09,,,1.03,,,G1 V,1.49,,,5834,,,,,
HD 145377 b,Confirmed,5.76,0.1,0.1,5.76,0.1,0.1,0,,,103.95,0.13,0.13,0.45,0.004,0.004,0.307,0.017,0.017,,,,0.007799,2008,10/28/08,138.1,2.8,2.8,54635.4,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 145377,242.9,-27.0780556,8.12,,,,,57.7,3,3,0.12,0.01,0.01,1.12,0.03,0.03,1.14,,,G3V,1.3,1,1,6046,15,15,,,
HD 1461 b,Confirmed,0.0203,0.0019,0.0019,0.0203,0.0019,0.0019,0,,,5.77152,0.00045,0.00045,0.0634,0.0022,0.0022,0,,,,,,0.002711,2009,10/26/15,,,,2450366.936,,,,,,,,,,,,,,,,,,,,,2.28,0.15,0.15,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 1461,4.675,-8.0530556,6.64,,,,,23.4,0.5,0.5,0.19,0.01,0.01,1.02,,,1.095,0.026,0.026,G0V,6.3,,,5765,18,18,IR Excess,,
HD 1461 c,Confirmed,0.0176,0.0023,0.0023,0.0176,0.0023,0.0023,0,,,13.5052,0.0029,0.0029,0.1117,0.0039,0.0039,0,,,,,,0.004774,2011,10/26/15,,,,,,,,,,,,,,,,,,,,,,,,,1.49,0.17,0.17,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 1461,4.675,-8.0530556,6.64,,,,,23.4,0.5,0.5,0.19,0.01,0.01,1.02,,,1.095,0.026,0.026,G0V,6.3,,,5765,18,18,IR Excess,,
