# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
GJ 581 c,0.017,0.017,0,12.9182,0.073,0.07,,0.011755,235,,,,0,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 e,0.0061,0.0061,0,3.14945,0.028,0.32,,0.004509,236,,,,0,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 86 A b,4.01,4.01,0,15.766,0.11,0.046,,0.010092,266,,,,0,,GJ 86,32.60805938,-50.82372722,6.17,,,,,10.9,-0.24,0.8,0.855,K1V,2.03,5350,,
GJ 876 b,1.938,1.927,0,61.03,0.208317,0,84,0.044323,116.7,,,,0,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 c,0.856,0.637,0,30.23,0.12959,0.002,48.07,0.027572,225.2,,,,0,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 d,0.022,0.017,0,1.94,0.02080665,0.081,50,0.004427,157.4,,,,0,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 e,0.045,0.039,0,124.69,0.3343,0.073,59.5,0.071128,360,,,,0,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
HAT-P-1 b,0.525,,1.319,4.46529976,0.05561,0.067,85.634,0.000398,360,,1322,,0,,HAT-P-1,344.4458333,38.675,10.4,,,,,139,0.13,1.151,1.174,GOV,3.6,5980,,
HAT-P-11 b,0.082434006,,0.421983089,4.887802443,0.053,0.265,89.05,0.001395,198,0.209,750,,0,,HAT-P-11,297.7083333,48.0808333,9.59,,,,,38,0.31,0.81,0.75,K4,6.5,4780,,
HAT-P-13 b,0.85,,1.28,2.916243,0.0426,0.0142,83.3,0.000199,223,,,,0,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214,0.43,1.22,1.56,G4,5,5638,,
HAT-P-13 c,14.28,14.28,0,446.27,1.186,0.6616,,0.005542,175.29,,,,0,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214,0.43,1.22,1.56,G4,5,5638,,
HAT-P-14 b,2.2,,1.2,4.627657,0.0594,0.095,83.2,0.00029,99,,,,0,,HAT-P-14,260.1166667,38.2422222,9.98,,,,,205,0.11,1.386,1.468,F,1.3,6600,,
HAT-P-15 b,1.946,,1.072,10.863502,0.0964,0.19,89.1,0.000507,262,,,,0,,HAT-P-15,66.25,39.4605556,12.16,,,,,190,0.22,1.013,1.08,G5,6.8,5568,,
HAT-P-16 b,4.193,,1.289,2.77596,0.0413,0.036,86.6,0.000176,214,,,,0,,HAT-P-16,9.575,42.4630556,10.8,,,,,235,0.17,1.218,1.237,F8,2,6158,,
HAT-P-17 b,0.534,,1.01,10.338523,0.0882,0.346,89.2,0.00098,201,,,,0,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90,0,0.857,0.837,K,7.8,5246,,
